	order_in_text	sentences	tf_idf
3	4	То задувал с северо-запада, со стороны степи свирепый ураган; от него верхушки деревьев раскачивались, пригибаясь и выпрямляясь, точно волны в бурю, гремели по ночам железные кровли дач, и казалось, будто кто-то бегает по ним в подкованных сапогах, вздрагивали оконные рамы, хлопали двери, и дико завывало в печных трубах	2.7771546632000925
616	617	Товарищи собрали ему кое-какие деньжонки на выезд	2.776383838224633
364	365	А это вот — критическое положение: разгневанный отец догоняет беглецов	2.775574238408346
401	402	Ночные бабочки бились о стеклянные колпаки свечей	2.7755742384083457
141	142	Впрочем, между нами, у тебя у самой есть слабость вкусно поесть — Но будет и кое-что редкое	2.770391193549144
562	563	В-четвертых, соблазн невинности, как в моем случае	2.7670488180004496
815	816	— Ну-с, дальше	2.767048818000449
600	601	Ревновал он ее ужасно	2.767048818000449
578	579	Но один был продиктован глупостью, а другой	2.767048818000449
992	993	Бьют часы	2.767048818000449
549	550	Потом протянул неохотно: — Ну, хорошо	2.767048818000449
330	331	Вот теперь мы только что покончили с лотереей-аллегри	2.767048818000449
670	671	Они будут попирать нас, мужчин, как презренных, низкопоклонных рабов	2.7647854488290955
424	425	Они смазали уже им сапоги и также ружейные замки	2.754554944339619
271	272	Брать из кассы во второй раз жетоны строго запрещалось	2.7462256952323987
273	274	Общий проигрыш редко достигал ста — двухсот рублей Сели за покер и на этот раз	2.7462256952323987
147	148	Ее чешуя отливала золотом, плавники были ярко-красного цвета, а от громадной хищной морды шли в стороны два нежно-голубых складчатых, как веер, длинных крыла	2.7389405724300246
449	450	Вот тут-то со мною и случилось страшное приключение	2.735814133848374
651	652	По ночам проверял за него сторожевые посты	2.735814133848374
360	361	Кавалерийский юнкер подносит девице Лиме на коленях стихотворение собственного изделия	2.732343613387032
589	590	Вдобавок — морфинистка И вот однажды, осенью, присылают к ним в полк новоиспеченного прапорщика, совсем желторотого воробья, только что из военного училища	2.7320010096349843
378	379	Прошу отвечать мне в почтамт, посте́ рестанте́» 1	2.7317006659459153
456	457	Когда мы в него вступили, то жители встретили нас на городской площади с пушечною пальбою, от чего пострадало много окошек; но те, на которых поставлена была в стаканах вода, остались невредимы	2.725127023561013
257	258	Николай из скупости (он и в самом деле был скуповат), а также будучи принципиальным противником стачек и забастовок, наотрез отказался платить лишнее, ссылаясь на определенную статью закона, подтвержденную мнением кассационного департамента	2.7250972428879843
398	399	Погасла последняя багровая, узенькая, как щель, полоска, рдевшая на самом краю горизонта, между сизой тучей и землей	2.7242889090011837
432	433	К счастию, опиуму они не наелись	2.723910098688861
264	265	Густав Иванович хохотал громко и восторженно, и его худое, гладко обтянутое блестящей кожей лицо, с прилизанными жидкими, светлыми волосами, с ввалившимися глазными орбитами, походило на череп, обнажавший в смехе прескверные зубы	2.723460701851988
611	612	Он-то, говорят, верно рассчитал, как раз между передними и задними колесами: так бы его аккуратно пополам и перерезало	2.721850601536729
245	246	Еще до войны жена сбежала от него с проезжим актером, пленясь его бархатной курткой и кружевными манжетами	2.7212095118404798
671	672	Их сумасбродные прихоти и капризы станут для нас мучительными законами	2.7196088880878135
5	6	По размякшему шоссе без конца тянулись ломовые дроги, перегруженные всяческими домашними вещами: тюфяками, диванами, сундуками, стульями, умывальниками, самоварами	2.7190887438373097
306	307	Теперь во мне осталось только благоговение, вечное преклонение и рабская преданность	2.7155489971112394
29	30	Через несколько минут у дачных ворот круто остановился изящный автомобиль-карета, и шофер, ловко спрыгнув с сиденья, распахнул дверцу Сестры радостно поцеловались	2.7116558228407217
2	3	То с утра до утра шел не переставая мелкий, как водяная пыль, дождик, превращавший глинистые дороги и тропинки в сплошную густую грязь, в которой увязали надолго возы и экипажи	2.7053512792774708
632	633	Под конец сошлась она накрепко с поручиком Вишняковым, субалтерном из ихней роты	2.7045794496962996
386	387	А я, — увы	2.704579449696299
285	286	Я спрашиваю: от кого	2.704579449696299
381	382	Вот и иллюстрация	2.704579449696299
332	333	Фи	2.704579449696299
351	352	— Зачем премию	2.704579449696299
352	353	Возьмите меня бесплатно	2.704579449696299
376	377	П	2.704579449696299
194	195	Постойте-ка	2.704579449696299
506	507	Вы ведь сами были женаты	2.704579449696299
426	427	» — спрашиваю	2.704579449696299
491	492	Я распрощаюсь	2.704579449696299
746	747	» — Фи	2.704579449696299
829	830	фразу	2.704579449696299
850	851	— Так положительно нельзя	2.704579449696299
581	582	одна жалость	2.704579449696299
897	898	сладким бредом	2.704579449696299
550	551	скажем — исключение	2.704579449696299
174	175	в каком-то грязном	2.704579449696299
90	91	Сосны	2.704579449696299
691	692	Постой-ка	2.704579449696299
445	446	Была какая-то уютная прелесть в его неторопливом и наивном повествовании	2.704579449696299
483	484	неземной	2.704579449696299
882	883	Именно этот трагический исход	2.7045794496962987
520	521	Поверьте, что это святое существо	2.7045794496962987
384	385	Подумай, поразмысли, проверь и себя и его	2.7045794496962987
644	645	Дважды раненный — он отказался идти на перевязочный пункт	2.7023521227699687
389	390	Для них доставляет неизъяснимое наслаждение обмануть своей гордой красотой и фальшивыми чувствами неопытную жертву и жестоко насмеяться над ней» Проходит полгода	2.700720389355876
553	554	Стыдно оставаться в девушках, особенно когда подруги уже повыходили замуж	2.69727194648953
6	7	Жалко, и грустно, и противно было глядеть сквозь мутную кисею дождя на этот жалкий скарб, казавшийся таким изношенным, грязным и нищенским; на горничных и кухарок, сидевших на верху воза на мокром брезенте с какими-то утюгами, жестянками и корзинками в руках, на запотевших, обессилевших лошадей, которые то и дело останавливались, дрожа коленями, дымясь и часто нося боками, на сипло ругавшихся дрогалей, закутанных от дождя в рогожи	2.695453925683955
33	34	Младшая — Анна, — наоборот, унаследовала монгольскую кровь отца, татарского князя, дед которого крестился только в начале XIX столетия и древний род которого восходил до самого Тамерлана, или Ланг-Темира, как с гордостью называл ее отец, по-татарски, этого великого кровопийцу	2.693901982424963
244	245	Сам он был когда-то женат, но так давно, что даже позабыл об этом	2.691791319084454
499	500	Либо шпионит, злорадствует и сплетничает, либо лезет устраивать чужое счастье, либо разводит словесный гуммиарабик насчет возвышенной любви	2.6904711252914355
733	734	Если почему-нибудь я его не найду, то просто-напросто позову полицейского сыскного агента и прикажу отыскать	2.6881280568679173
517	518	За чаем ножка тебя под столом как будто нечаянно тронет	2.6873965239549804
337	338	— вставил Бахтинский и, слегка наклонившись, щелкнул под креслом шпорами — Благодарю	2.68607163276437
743	744	Пусть-ка он вызовет этого Ромео и погрозит у него пальцем под носом	2.684896231016633
7	8	Еще печальнее было видеть оставленные дачи с их внезапным простором, пустотой и оголенностью, с изуродованными клумбами, разбитыми стеклами, брошенными собаками и всяческим дачным сором из окурков, бумажек, черепков, коробочек и аптекарских пузырьков Но к началу сентября погода вдруг резко и совсем нежданно переменилась	2.683560155627573
47	48	В Крыму, в Мисхоре, прошлым летом я сделала изумительное открытие	2.6834276589169512
103	104	Книжка была прикреплена к тоненькой, как нитка, золотой цепочке, листки в середине были заменены таблетками из слоновой кости — Какая прекрасная вещь	2.6831987203544356
738	739	Поеду к губернатору и попрошу — Нет, только не к губернатору	2.680351946444285
345	346	поднять их нравственность, пробудить в их душах сознание долга	2.6799023604537258
990	991	Не ропщи, бедное сердце, не ропщи	2.6750546216768005
996	997	Дерево мягко сотрясалось	2.672276112026947
137	138	Ростбиф достали сравнительно недурной, — увы	2.669361197885163
526	527	» И вот через три месяца святое сокровище ходит в затрепанном капоте, туфли на босу ногу, волосенки жиденькие, нечесаные, в папильотках, с денщиками собачится, как кухарка, с молодыми офицерами ломается, сюсюкает, взвизгивает, закатывает глаза	2.6692097652426834
558	559	Во-первых, усталость от холостой жизни, от беспорядка в комнатах, от трактирных обедов, от грязи, окурков, разорванного и разрозненного белья, от долгов, от бесцеремонных товарищей, и прочее и прочее	2.6688192302110627
227	228	Он всегда ходил без оружия, в старомодном сюртуке, в фуражке с большими полями и с громадным прямым козырьком, с палкою в правой руке, со слуховым рожком в левой и непременно в сопровождении двух ожиревших, ленивых, хриплых мопсов, у которых всегда кончик языка был высунут наружу и прикушен	2.6666899031416404
604	605	Обратно возвращались ночью пешком по полотну железной дороги	2.6655792679729076
333	334	Толпа, накурено, какие-то дворники, извозчики, я не знаю, как их там зовут	2.662791970137535
591	592	Он паж, он слуга, он раб, он вечный кавалер ее в танцах, носит ее веер и платок, в одном мундирчике выскакивает на мороз звать ее лошадей	2.660797354427864
44	45	— Если можно, посидим немного на скамеечке над обрывом	2.660556634932379
662	663	Я на днях читал историю Машеньки Леско и кавалера де Грие	2.659437279600763
144	145	Прямо какое-то чудовище	2.656124443192271
98	99	И вдруг спохватилась — Нет, какая же я глупая	2.656124443192271
186	187	на покойницу мать	2.656124443192271
931	932	Он так скоро ушел от нас	2.656124443192271
444	445	Анна даже невольно совсем по-детски расставила локти на столе и уложила подбородок на составленные пятки ладоней	2.65565105881437
307	308	Я умею теперь только желать ежеминутно Вам счастья и радоваться, если Вы счастливы	2.6555476878406865
587	588	Штукатурка с нее так и сыпалась, как со старого московского дома	2.6499791952835516
574	575	Величайшей тайной в мире	2.6458823633444055
191	192	А ты, Аня, вовсе не изменилась	2.6458823633444055
678	679	Если тебе почему-либо неприятно — Да вовсе нет	2.6458823633444055
31	32	По внешности они до странного не были схожи между собою	2.6458823633444055
773	774	Какой-то шорох послышался внутри	2.645882363344405
711	712	Я нахожу эту переписку дерзкой и пошлой — Переписки вовсе не было, — холодно остановил его Шеин	2.645882363344405
407	408	Старый комендант жмурился от блаженства — Да-с	2.645741335469564
25	26	Зато пышно цвели своей холодной, высокомерной красотою георгины, пионы и астры, распространяя в чутком воздухе осенний, травянистый, грустный запах	2.642350867042985
652	653	А это, заметь, Веруня, было в то время, когда башибузуки вырезывали наши пикеты так же просто, как ярославская баба на огороде срезает капустные кочни	2.640777727708338
136	137	Лука отыскал где-то перепелов — заказал знакомому охотнику — и что-то мудрит над ними	2.640198749739141
197	198	Танцор и буян, но хороший кавалерист	2.629321950780304
54	55	— произнесла она ослабевшим и вздрагивающим голосом	2.629321950780304
428	429	Я дал им целковый, и они с удовольствием отдали мне его	2.629321950780304
997	998	Налетел легкий ветер и, точно сочувствуя ей, зашелестел листьями	2.6291117672438644
0	1	В середине августа, перед рождением молодого месяца, вдруг наступили отвратительные погоды, какие так свойственны северному побережью Черного моря	2.6276645298402483
81	82	Мне казалось — я повисла в воздухе и вот-вот полечу	2.6271905248221845
256	257	Свадьба, по словам рассказчика, чуть-чуть было не состоялась, но в самую критическую минуту отчаянная банда лжесвидетелей, участвовавших в деле, вдруг забастовала, требуя прибавки к заработной плате	2.6249378097481193
675	676	Что здесь правда и что выдумка, по его обычаю	2.6235667668008675
448	449	Жили мы в землянке, вчетвером	2.6235667668008675
663	664	Веришь ли, слезами обливался	2.6235667668008675
236	237	Но, накричавшись досыта, он без всяких переходов и пауз осведомлялся, откуда офицеру носят обед и сколько он за него платит	2.6218160684071576
22	23	Она во многом, незаметно для него, отказывала себе и, насколько возможно, экономила в домашнем хозяйстве Теперь она ходила по саду и осторожно срезала ножницами цветы к обеденному столу	2.6196472058981537
211	212	Но больше всего их очаровывали и крепче всего запечатлелись в их памяти его рассказы о военных походах, сражениях и стоянках на бивуаках, о победах и отступлениях, о смерти, ранах и лютых морозах, — неторопливые, эпически спокойные, простосердечные рассказы, рассказываемые между вечерним чаем и тем скучным часом, когда детей позовут спать По нынешним нравам этот обломок старины представлялся исполинской и необыкновенно живописной фигурой	2.619626388427753
324	325	Голосок у него был маленький, но приятного тембра, послушный и верный	2.6192655561998204
715	716	Дело, по-моему, переходит за те границы, где можно смеяться и рисовать забавные рисуночки	2.618063127220585
650	651	Ходил вместо него на саперные работы, а тот отлеживался в землянке или играл в штос	2.617208199154297
125	126	Но теперь вечера такие холодные	2.616533820168459
932	933	Ну, скажем, растрата	2.6165338201684585
320	321	Она составила для них винт, пригласив четвертым Густава Ивановича	2.616533820168458
85	86	» А он только языком почмокал: «Эх, барина, как мине все это надоел	2.6163102280629276
290	291	Под бумагой оказался небольшой ювелирный футляр красного плюша, видимо только что из магазина	2.6161483366580685
588	589	Но, понимаешь, этакая полковая Мессалина: темперамент, властность, презрение к людям, страсть к разнообразию	2.61431288328987
528	529	Знаешь, этак в нос, с растяжкой, томно: «Ж-а-а-ак»	2.6126203041935376
465	466	И вот среди разговора взгляды наши встретились, между нами пробежала искра, подобная электрической, и я почувствовал, что влюбился сразу — пламенно и бесповоротно Старик замолчал и осторожно потянул губами черное вино — Но ведь вы все-таки объяснились с ней потом	2.612253608654355
636	637	На прощанье, когда мы уже уселись в вагоны и поезд тронулся, так она еще мужу вслед, бесстыдница, крикнула: «Помни же, береги Володю	2.6118896507123064
258	259	Тогда рассерженные лжесвидетели на известный вопрос: «Не знает ли кто-нибудь из присутствующих поводов, препятствующих совершению брака	2.611045256265733
459	460	Пришедши на отведенную мне квартиру, я увидел на окошке стоящую низенькую клеточку, на клеточке была большого размера хрустальная бутылка с прозрачною водой, в ней плавали золотые рыбки, и между ними сидела на примосточке канарейка	2.610790113322003
24	25	Доцветали разноцветные махровые гвоздики, а также левкой — наполовину в цветах, а наполовину в тонких зеленых стручьях, пахнувших капустой, розовые кусты еще давали — в третий раз за это лето — бутоны и розы, но уже измельчавшие, редкие, точно выродившиеся	2.60983166486326
219	220	Он участвовал при переправе через Дунай, переходил Балканы, отсиживался на Шипке, был при последней атаке Плевны; ранили его один раз тяжело, четыре — легко, и, кроме того, он получил осколком гранаты жестокую контузию в голову	2.609030662218791
461	462	— это меня удивило, но, осмотрев, увидел, что в бутылке дно широко и вдавлено глубоко в середину, так что канарейка свободно могла влетать туда и сидеть	2.606111768839744
267	268	Она была суеверна и подумала про себя: «Вот это нехорошо	2.604236117808305
235	236	» Иногда совершенно неожиданно хвалил офицера за бравый, хотя и противозаконный поступок, иногда начинал распекать, крича так, что его бывало слышно на улице	2.6010728403306262
732	733	Завтра же я беру городской указатель и отыскиваю чиновника или служащего с такими инициалами	2.600916478092421
935	936	Но какие-нибудь шестьсот — семьсот рублей я бы могла собрать и внести за него	2.5991668682153866
614	615	Прапорщик, как уцепился руками за рельсы, так ему обе кисти и оттяпало — Ох, какой ужас	2.5978043505742665
347	348	И вот к нам ежедневно приводят детей сотнями, тысячами, но между ними — ни одного порочного	2.5977497734699107
406	407	Они заботливо ухаживали за генералом, наполняли тяжелым, густым вином его тонкий стакан, придвигали ему спички, нарезали сыр и так далее	2.5974190887272415
373	374	В конце скромная подпись: «По роду оружия я бедный телеграфист, но чувства мои достойны милорда Георга	2.5971716050651734
23	24	Клумбы опустели и имели беспорядочный вид	2.5957658408262443
621	622	замерз где-то на пристани в Петербурге А другой случай был совсем жалкий	2.595710697400409
598	599	Измучился весь, исхудал, почернел	2.5947462762387334
891	892	Сегодня я уезжаю и никогда не вернусь, и ничто Вам обо мне не напомнит Я бесконечно благодарен Вам только за то, что Вы существуете	2.5945224127864988
559	560	Во-вторых, чувствуешь, что семьей жить выгоднее, здоровее и экономнее	2.594392046002965
19	20	Огромное родовое имение было почти совсем расстроено его предками, а жить приходилось выше средств: делать приемы, благотворить, хорошо одеваться, держать лошадей и т	2.594289981768545
328	329	— Вы, конечно, считаете за труд лететь сломя голову впереди эскадрона и брать барьеры на скачках	2.5927695184885
4	5	Несколько рыбачьих баркасов заблудилось в море, а два и совсем не вернулись: только спустя неделю повыбрасывало трупы рыбаков в разных местах берега Обитатели пригородного морского курорта — большей частью греки и евреи, жизнелюбивые и мнительные, как все южане, — поспешно перебирались в город	2.5926543916672675
298	299	Почтительно поздравляя Вас с светлым и радостным днем Вашего Ангела, я осмеливаюсь препроводить Вам мое скромное верноподданническое подношение» «Ах, это — тот	2.5914808473740414
391	392	Вот он переодевается трубочистом и, вымазавшись сажей, проникает в будуар княгини Веры	2.591270733740884
537	538	А потом понемногу отошло и отошло, и ничего не осталось, кроме презрения	2.590850992610206
65	66	Вода была ласково-спокойна и весело-синя, светлея лишь косыми гладкими полосами в местах течения и переходя в густо-синий глубокий цвет на горизонте Рыбачьи лодки, с трудом отмечаемые глазом — такими они казались маленькими, — неподвижно дремали в морской глади, недалеко от берега	2.5889817530750396
336	337	А впереди еще предстоит концерт в пользу недостаточных интеллигентных тружениц, а там еще белый бал — На котором, смею надеяться, вы не откажете мне в мазурке	2.587904614577406
778	779	Он был высок ростом, худощав, с длинными пушистыми, мягкими волосами — Если не ошибаюсь, господин Желт-ков	2.587654266243762
879	880	Судя по данным следствия, смерть покойного произошла по причине растраты казенных денег	2.5876542662437614
943	944	Мы никакого внимания не обратили	2.5871852769925114
485	486	— Право, не сумею вам ответить, — замялся старик, поднимаясь с кресла	2.5861074821490098
955	956	Его хотели сегодня отвезти в анатомический театр, но у него есть брат, так он упросил, чтобы его похоронить по-христианску	2.58581486198432
77	78	Деревни внизу кажутся не больше спичечной коробки, леса и сады — как мелкая травка	2.5854369683486422
998	999	Острее запахли звезды табака	2.5852991360163835
607	608	Дает свистки	2.583060425353152
881	882	Ввиду того что показаниями свидетелей установлена в этом акте его личная воля, решено не отправлять труп в анатомический театр» Вера думала про себя: «Почему я это предчувствовала	2.58005542742443
940	941	Потом пан Ежий побежал до телефона и вернулся такой веселый	2.5795590285657326
11	12	И теперь она очень радовалась наступившим прелестным дням, тишине, уединению, чистому воздуху, щебетанью на телеграфных проволоках ласточек, ста́ившихся к отлету, и ласковому соленому ветерку, слабо тянувшему с моря Кроме того, сегодня был день ее именин — 17 сентября	2.5761795646630685
540	541	И кроме того, избежал я общей участи большинства мужей	2.572113962745822
870	871	Пожалуйста, прекратите ее как можно скорее»	2.5719327801389533
412	413	Только что настали красные денечки	2.571932780138953
159	160	Позднее других приехал генерал Аносов, в хорошем наемном ландо, в сопровождении двух офицеров: штабного полковника Понамарева, преждевременно состарившегося, худого, желчного человека, изможденного непосильной канцелярской работой, и гвардейского гусарского поручика Бахтинского, который славился в Петербурге как лучший танцор и несравненный распорядитель балов Генерал Аносов, тучный, высокий, серебряный старец, тяжело слезал с подножки, держась одной рукой за поручни козел, а другой — за задок экипажа	2.569230258406904
76	77	Вообрази себе: узенькая площадка на скале, и под ногами у нас пропасть	2.5690938902558234
818	819	— Врываться в чужое семейство — Виноват, я вас перебью — Нет, виноват, теперь уж я вас перебью	2.568259091204967
371	372	бурное море пламени, клокочущее в моей груди	2.566984525689388
158	159	За ними приехал на автомобиле муж Анны с бритым толстым, безобразно огромным профессором Спешниковым и с местным вице-губернатором фон Зекком	2.566703283278422
291	292	Вера подняла крышечку, подбитую бледно-голубым шелком, и увидела втиснутый в черный бархат овальный золотой браслет, а внутри его бережно сложенную красивым восьмиугольником записку	2.5644748556798023
957	958	В комнате пахло ладаном и горели три восковых свечи	2.5637297763605895
720	721	Завтра он присылает кольцо с брильянтами, послезавтра жемчужное колье, а там — глядишь — сядет на скамью подсудимых за растрату или подлог, а князья Шеины будут вызваны в качестве свидетелей	2.561900445825095
661	662	А если и не бывало, то разве не мечтали и не тосковали об этом лучшие умы и души человечества — поэты, романисты, музыканты, художники	2.560995240640443
46	47	И какой чудный воздух: дышишь — и сердце веселится	2.560547589015108
249	250	У него была необыкновенная и очень своеобразная способность рассказывать	2.557001835623022
349	350	И вот приют открыт, освящен, все готово — и ни одного воспитанника, ни одной воспитанницы	2.5554575520240306
55	56	— Когда я гляжу с такой высоты, у меня всегда как-то сладко и противно щекочет в груди	2.5544148036323873
767	768	— Дай я отдышусь	2.5540644518643085
647	648	Его Леночка ему велела	2.5540644518643085
609	610	А ведь, если я вам прикажу — вы, наверно, под поезд не броситесь»	2.5540644518643085
411	412	Ах, жаль-то как	2.5540644518643085
557	558	А у мужчин другие мотивы	2.5540644518643085
727	728	— Нам известны инициалы этого Пе Пе Же	2.5540644518643085
972	973	№ 2, op	2.5540644518643085
731	732	Этого совершенно достаточно	2.5540644518643085
228	229	Если ему во время обычной утренней прогулки приходилось встречаться со знакомыми, то прохожие за несколько кварталов слышали, как кричит комендант и как дружно вслед за ним лают его мопсы Как многие глухие, он был страстным любителем оперы, и иногда, во время какого-нибудь томного дуэта, вдруг на весь театр раздавался его решительный бас: «А ведь чисто взял до, черт возьми	2.5535080707287023
69	70	Но потом, когда привыкну к нему, оно начинает меня давить своей плоской пустотой	2.5494487884525
693	694	Наверно, мой экипаж В то же время сзади послышалось зычное рявканье автомобиля, и дорога, изрытая колесами, засияла белым ацетиленовым светом	2.5476093766717742
102	103	Она достала из своего ручного мешочка маленькую записную книжку в удивительном переплете: на старом, стершемся и посеревшем от времени синем бархате вился тускло-золотой филигранный узор редкой сложности, тонкости и красоты, — очевидно, любовное дело рук искусного и терпеливого художника	2.5456400212144645
229	230	Точно орех разгрыз»	2.5455390314564115
630	631	Пусть только Леночка будет счастлива	2.5455390314564115
62	63	Обе на минутку задумались	2.5455390314564115
392	393	Следы пяти пальцев и двух губ остались, как видите, повсюду: на коврах, на подушках, на обоях и даже на паркете Вот он в одежде деревенской бабы поступает на нашу кухню простой судомойкой	2.543750893922728
